type,time,price,return_pct,reason
BUY,2025-04-07 16:00:00+00:00,177.19000244140625,,
SELL,2025-04-07 18:00:00+00:00,180.11500549316406,1.65,Momentum fade
BUY,2025-04-08 17:30:00+00:00,177.94569396972656,,
SELL,2025-04-08 19:00:00+00:00,172.8795928955078,-2.85,SL
BUY,2025-04-08 19:15:00+00:00,172.88999938964844,,
SELL,2025-04-09 14:45:00+00:00,177.72000122070312,2.79,Momentum fade
BUY,2025-04-10 16:00:00+00:00,186.1000061035156,,
SELL,2025-04-10 19:00:00+00:00,190.8343963623047,2.54,Momentum fade
BUY,2025-04-14 16:30:00+00:00,203.0166015625,,
SELL,2025-04-16 13:45:00+00:00,196.5599975585937,-3.18,SL
BUY,2025-04-16 14:15:00+00:00,197.07000732421875,,
SELL,2025-04-17 14:45:00+00:00,195.7825927734375,-0.65,Momentum fade
BUY,2025-04-21 14:15:00+00:00,192.1199951171875,,
SELL,2025-04-21 18:45:00+00:00,190.2700042724609,-0.96,Momentum fade
BUY,2025-04-22 18:00:00+00:00,199.3249969482422,,
SELL,2025-04-23 14:15:00+00:00,206.80499267578125,3.75,Momentum fade
BUY,2025-04-23 16:45:00+00:00,204.759994506836,,
SELL,2025-04-24 18:45:00+00:00,207.8600006103516,1.51,Momentum fade
BUY,2025-04-25 15:00:00+00:00,207.52999877929688,,
SELL,2025-04-28 18:45:00+00:00,209.8406982421875,1.11,Momentum fade
BUY,2025-04-29 17:00:00+00:00,209.97999572753903,,
SELL,2025-04-30 16:00:00+00:00,210.6100006103516,0.3,Momentum fade
BUY,2025-05-02 14:00:00+00:00,205.1199951171875,,
SELL,2025-05-02 18:15:00+00:00,204.8800048828125,-0.12,Momentum fade
BUY,2025-05-05 14:30:00+00:00,199.0,,
SELL,2025-05-05 17:30:00+00:00,200.3999938964844,0.7,Momentum fade
BUY,2025-05-06 14:00:00+00:00,198.52999877929688,,
SELL,2025-05-06 16:30:00+00:00,199.5399932861328,0.51,Momentum fade
BUY,2025-05-07 15:45:00+00:00,195.10499572753903,,
SELL,2025-05-08 13:45:00+00:00,196.1499938964844,0.54,Momentum fade
BUY,2025-05-09 14:45:00+00:00,198.3800048828125,,
SELL,2025-05-12 13:45:00+00:00,208.52999877929688,5.12,TP
BUY,2025-05-12 19:45:00+00:00,210.8300018310547,,
SELL,2025-05-15 16:45:00+00:00,212.0399932861328,0.57,Momentum fade
BUY,2025-05-15 18:30:00+00:00,211.0800018310547,,
SELL,2025-05-16 17:15:00+00:00,211.1100006103516,0.01,Momentum fade
BUY,2025-05-19 14:00:00+00:00,206.80349731445312,,
SELL,2025-05-19 17:15:00+00:00,208.92999267578125,1.03,Momentum fade
BUY,2025-05-21 17:45:00+00:00,203.0930938720703,,
SELL,2025-05-22 16:15:00+00:00,201.9499969482422,-0.56,Momentum fade
BUY,2025-05-23 14:15:00+00:00,197.1699981689453,,
SELL,2025-05-23 17:30:00+00:00,195.8099975585937,-0.69,Momentum fade
BUY,2025-05-28 14:00:00+00:00,200.57000732421875,,
SELL,2025-05-30 19:30:00+00:00,200.0500030517578,-0.26,Momentum fade
BUY,2025-06-02 17:45:00+00:00,200.8999938964844,,
SELL,2025-06-03 14:00:00+00:00,202.2899932861328,0.69,Momentum fade
BUY,2025-06-04 16:30:00+00:00,202.8300018310547,,
SELL,2025-06-05 15:45:00+00:00,204.1649932861328,0.66,Momentum fade
BUY,2025-06-05 17:15:00+00:00,202.60009765625,,
SELL,2025-06-06 14:15:00+00:00,203.66000366210932,0.52,Momentum fade
BUY,2025-06-06 16:45:00+00:00,202.69500732421875,,
SELL,2025-06-06 18:45:00+00:00,205.26499938964844,1.27,Momentum fade
BUY,2025-06-09 17:30:00+00:00,202.1699981689453,,
SELL,2025-06-10 15:00:00+00:00,203.26220703125,0.54,Momentum fade
BUY,2025-06-10 17:45:00+00:00,201.75,,
SELL,2025-06-10 19:30:00+00:00,202.75,0.5,Momentum fade
BUY,2025-06-11 16:15:00+00:00,200.2071075439453,,
SELL,2025-06-12 15:15:00+00:00,198.1499938964844,-1.03,Momentum fade
BUY,2025-06-13 14:30:00+00:00,196.6499938964844,,
SELL,2025-06-13 17:00:00+00:00,197.27999877929688,0.32,Momentum fade
BUY,2025-06-13 18:45:00+00:00,196.46499633789065,,
SELL,2025-06-16 14:30:00+00:00,198.3099975585937,0.94,Momentum fade
BUY,2025-06-17 14:30:00+00:00,197.509994506836,,
SELL,2025-06-17 15:45:00+00:00,197.78500366210932,0.14,Momentum fade
BUY,2025-06-17 18:30:00+00:00,195.69000244140625,,
SELL,2025-06-18 14:45:00+00:00,197.25,0.8,Momentum fade
BUY,2025-06-18 17:45:00+00:00,196.47000122070312,,
SELL,2025-06-20 14:00:00+00:00,199.57000732421875,1.58,Momentum fade
BUY,2025-06-23 16:00:00+00:00,199.9600067138672,,
SELL,2025-06-23 18:30:00+00:00,201.6750030517578,0.86,Momentum fade
BUY,2025-06-23 19:45:00+00:00,201.5500030517578,,
SELL,2025-06-25 14:45:00+00:00,202.4550018310547,0.45,Momentum fade
BUY,2025-06-25 17:45:00+00:00,200.99989318847656,,
SELL,2025-06-26 18:30:00+00:00,201.01499938964844,0.01,Momentum fade
BUY,2025-06-27 18:15:00+00:00,201.44000244140625,,
